Наименование	Штрихкод
Артелак всплеск Уно тюб/кап 0,5 * №30		
Аскорбиновая к-та р-р д/в/в, в/м введения 100мг/мл 2мл амп.0 №10 Армавирская биологическая фабрика ФКП/ФГУП РОССИЯ	4605894001063
Атропин р-р д/инъекций 1мг/мл 1мл амп. №5 Московский эндокринный завод ФГУП РОССИЯ	4602676008067
Ацетилсалициловая к-та 500 мг № 10, таблетка НеуказанаСтрана		
Аципол таблетки №30 Лекко Фармацевтическая фирма ЗАО РОССИЯ		
АЦЦ 200 таблетки шипучие 200мг тубы пластик. №20 Салютас Фарма ГмбХ ГЕРМАНИЯ	4030855000128
Бак-сет капсулы №20		
Бакцефорт пор д/р-ра в/в и в/м введ 1г,флакон НеуказанаСтрана		
Бар-ВИПС порошок д/приг.сусп.д/приема внутрь 240г №40 Випс-Мед Фирма ООО РОССИЯ		
Баралгин М р-р д/в/в, в/м введения 500мг/мл 5мл амп.т/с №5 Санофи Индия Лимитед ИНДИЯ	8901083020133
Бетадин р-р 10% фл.1л №1 Эгис Фармацевтический завод ОАО ВЕНГРИЯ	5995327165400
Беталок Зок таблетки с пролонгированным высвобождением п/о 50мг фл.пласт. №30 АстраЗенека АБ ШВЕЦИЯ		
Беталок р-р д/в/в введения 1мг/мл 5мл амп.N5 №5 Сенекси ФРАНЦИЯ	4607155430254
Боботик капли д/внутр.прим.66,66мг/мл30мл фл/кап №1 Медана Фарма Акционерное Общество ПОЛЬША	5907529417126
Борная кислота р-р спирт.3% фл.25мл №1 Йодные технологии и маркетинг ООО РОССИЯ		
Бриллиантовый зеленый р-р д/наружного применения [спиртовой] 1% 25мл фл. №1 Асфарма  ООО РОССИЯ		
Бромгексин 8 Берлин-Хеми драже 8мг №25 Берлин Хеми/Менарини Фарма ГмбХ ГЕРМАНИЯ		
Вазелин мазь д/наружного применения 30г тубы №1 Московская фармацевтическая фабрика ЗАО/ОАО РОССИЯ		
Вальсакор таблетки п/пл/о 160мг №30 КРКА,д.д.,Ново место СЛОВЕНИЯ		
Ванкомицин лиоф.д/приг.р-ра д/инф.1,0  фл. №1 Красфарма ОАО/ПАО РОССИЯ	4602521013758
Верошпилактон капсулы 50мг №30 Оболенское -фарм.предприятие ЗАО/АО РОССИЯ		
Верошпирон капсулы 50мг №30 Гедеон Рихтер-РУС АО/ЗАО РОССИЯ		
Верошпирон таблетки 25мг №20 Гедеон Рихтер ОАО ВЕНГРИЯ		
Вессел Дуэ Ф капсулы 250ЛЕ №50 Альфа Вассерманн С.п.А. ИТАЛИЯ		
Вита-Пос смазывающее офтальмологическое ср-во, туба 5г гель, туба 5 г №1		
Вода д/инъекций 2мл №10 НеуказанаСтрана		
Вода д/инъекций 400 мл НеуказанаСтрана		
Вода для инъекций амп 5 мл №10 * №10 РОССИЯ		
Галовит 0,1г флакон №5 (иммуномод) (пк) НеуказанаСтрана		
Галоперидол 2мг/мл флакон 30мл капли д/приема внутрь (нейролеп) (ст) НеуказанаСтрана		
Ганатон таблетки п/пл/о 50мг №40 Майлан ЕПД Г.К. ЯПОНИЯ		
Гексорал р-р д/местн.прим.0,1% 200мл фл. №1		
Гексорал р-р д/местн.прим.0,1% 200мл фл. №1 Пфайзер ПГМ ФРАНЦИЯ	3574661520568
Гелофузин р-р д/инфузий 500мл фл.ст. №10 Б.Браун Медикал АГ ШВЕЙЦАРИЯ	4030539022903
Гепа-Мерц концентрат д/приг.р-ра д/инфузий 500мг/мл 10мл амп.т/с 0 №10		
Гепариновая мазь туба 25г (ст) НеуказанаСтрана		
Гептор лиоф.д/приг.р-ра д/в/в, в/м введения 400мг фл./с раств.5мл амп./ №5 Верофарм ООО РОССИЯ	4605095009530
Гептрал лиофилизат д/приг.р-ра д/в/в, в/м введения 400мг фл./с раств.5мл амп./ №5 Фамар Л'Эгль ФРАНЦИЯ		
Гептрал таблетки п/о кш/раств.400мг №20 Хоспира С.п.А ИТАЛИЯ		
Гидроксиэтилкрахмал 130/0.4 р-р д/инфузий 6% 500мл фл.п/э №1 Ист-Фарм ООО/ЗАО РОССИЯ		
Глиатилин р-р д/инфузий и в/м введения 1000мг/3мл 3мл N3 №3 Италфармако С.п.А. ИТАЛИЯ		
Глицин таблетки защечные и подъязычные 100мг №50 Обновление ПКФ ЗАО/АО РОССИЯ		
Глюкоза буфус р-р д/в/в введения 400мг/мл 10мл амп.пласт. №1 Обновление ПКФ ЗАО/АО РОССИЯ		
Глюкоза р-р д/в/в введения 40% 10мл амп.0 №10 Верофарм ЗАО (Воронежский ф-ал) РОССИЯ		
Глюкоза р-р д/инф.5% фл.400мл №20 Вирион НПО ФГУП РОССИЯ	4607094502982
Глюкоза р-р д/инфузий 5% 200мл фл. №20 Гротекс ООО РОССИЯ	4680013240301
Глюкофаж таблетки п/пл/о 500мг №30		
Гонадотропин хорионический 5000МЕ с растворителем №5 лиофилизат д/пригот р-ра 1мл №5	4602676004526
Гонал-Ф 300 МЕ р-р для п/к введ 22мкг/0,5 мл + игла НеуказанаСтрана		
Гонал-Ф лиоф.д/пригот.р-ра 5,5мкг фл. шприц с раств. №1 Мерк Сероно С.А.,Филиал Обонн ШВЕЙЦАРИЯ	4607069190343
Гонал-Ф р-р д/п/к 33мкг 0,75 мл шпр/ручки №1 Мерк Сероно С.п.А. ИТАЛИЯ		
Гонал-Ф р-р д/п/к введения 22мкг/0,5мл шпр/ручки/с иглами ин. №1 Serono Pharma Spa ИТАЛИЯ		
Гонал-Ф р-р д/п/к введения 66мкг 1,5 мл шпр/ручки №1 Мерк Сероно С.п.А. ИТАЛИЯ	4607069190930
Гордокс р-р д/в/в введения 10 тыс.КИЕ/мл 10мл амп. №25 Гедеон Рихтер ОАО ВЕНГРИЯ	5997001352311
Гордокс р-р д/в/в введения 10тыс.КИЕ/мл 10мл амп.N5 №1 Гедеон Рихтер ОАО ВЕНГРИЯ		
Грандаксин таб.50мг №20 Эгис АО фармацевтический завод ВЕНГРИЯ		
Гриппферон спрей назальный дозир.10000МЕ/мл 10мл фл.сдоз.устр. №1 Фирн М ЗАО РОССИЯ		
Де-нол таблетки п/пл/о 120мг №32 Яманучи Юроп Б.В. НИДЕРЛАНДЫ		
Де-нол таблетки п/пл/о 120мг №56 Яманучи Юроп Б.В./Ортат ЗАО Нидерланды/Россия	4607098451705
Дексалгин р-р д/в/в, в/м введения 25мг/мл 2мл амп №5 А.Менарини Мэнюфекчеринг Лоджистикс энд ИТАЛИЯ	4013054014660
Дексаметазон р-р д/инъекций 4мг/мл 1мл амп. №10 Дальхимфарм ОАО РОССИЯ	4810133008387
Дексаметазон р-р для инъекций 4мг/мл 1мл амп. №25 Эллара ООО РОССИЯ	4670008162640
Декскетопрофен р-р д/в/в, в/м введения 25мг/мл  2мл амп.0 №10		
Детралекс, таб., 100 мг + 900 мг * №30		
Диклофенак р-р д/в/м введения 25мг/мл 3мл амп. №5 Хемофарм А.Д. СЕРБИЯ	8600097300650
Димедрол р-р д/в/в, в/м введения 10мг/мл 1мл амп.0 №10 Белмедпрепараты РУП БЕЛАРУСЬ	4810133000954
Димедрол р-р д/в/в, в/м введения 10мг/мл 1мл амп.0 №10 Верофарм ОАО [Белгород] РОССИЯ		
Димексид концентрат д/приг.р-ра д/наружн.прим.100мл фл. №1 Фармацевтическая фабрика Санкт-Петербурга ОАО РОССИЯ		
Диоксидин 1% ампула 10мл №10 НеуказанаСтрана		
Диоксисепт р-р д/в/полостного введения и наружного применения 10мг/мл №10 Дальхимфарм ОАО РОССИЯ	4602824024093
Диприван эмульсия д/в/в введения 10мг/мл 20мл амп №5 Корден Фарма С.п.А. ИТАЛИЯ		
Дипроспан сусп.д/ин.0,007/мл амп.1мл №1 Шеринг-Плау Лабо Н.В. БЕЛЬГИЯ	4602210000038
Диувер таблетки 10мг №20 Плива Хрватска д.о.о. Республика Хорватия		
Диферелин пор.д/ин.0,1мг фл.N7 с р-лем №7 Бофур Ипсен Индастри ФРАНЦИЯ		
Дифлюкан капсулы 150мг №12 Фарева Амбуаз ФРАНЦИЯ		
Дицинон р-р д/в/в, в/м введения 125мг/мл 2мл амп. №50 Лек д.д. СЛОВЕНИЯ	3838957090563
Доксорубицин-Ферейн лиоф.д/приг.р-ра д/в/сосуд., в/пузыр.введения 10мг фл. №1 Брынцалов-А ЗАО/ПАО РОССИЯ		
Допамин концентрат д/приг.р-ра д/инфузий 40мг/мл 5мл амп. №10 Биохимик ОАО/ПАО/АО РОССИЯ		
Дроперидол р-р д/инъекций 2,5мг/мл 5мл амп.N5 №1 Московский эндокринный завод ФГУП РОССИЯ		
Дюспаталин капсулы пролонг.действ.200мг №30		
Дюфалак сироп 667мг/мл 1000мл фл./в комплекте с мерным стаканчиком №1 Солвей Биолоджикалз Б.В. НИДЕРЛАНДЫ		
Зарсио р-р д/в/в, п/к введения 30млн.ЕД/0,5мл 0,5мл шпр.с устр.защиты иглы №1 Ай Ди Ти Биологика ГмбХ ГЕРМАНИЯ		
Золадекс капсулы д/п/к введения прол.действ.10,8мг шприц-аппликаторы с защ.механ. №1 АстраЗенека ЮК Лимитед Великобритания		
Ибупрофен суспензия д/приема внутрь [для детей] 100мг/5мл 100мл фл. №1 ЭКОлаб ЗАО РОССИЯ		
Ибупрофен-АКОС таблетки п/пл/о 200мг №20 Синтез ОАО РОССИЯ		
Ибупрофен-Акрихин суспензия 100мг/мл, флакон НеуказанаСтрана		
Изокет 0,1% 10 мл конц.д/пригот. р-ра №10, ампула НеуказанаСтрана		
Имодиум капс.2мг №6 Янссен Фармацевтика Н.В. БЕЛЬГИЯ		
Индапамид МВ 1,5мг таблетка №30 (ст) НеуказанаСтрана		
Ирифрин капли глазн. 10% фл.5мл №1 Сентисс Фарма Пвт.Лтд. ИНДИЯ		
Йоностерил р-р д/инфузий 500мл фл.ст. №10 Фрезениус Каби Дойчланд ГмбХ ГЕРМАНИЯ	4607085480381
Кавинтон концентрат д/приг.р-ра д/инфузий 5мг/мл 2мл амп.т/с №10 Гедеон Рихтер ОАО ВЕНГРИЯ		
Календулы настойка настойка 25мл фл.т/с №1 Фармацевтическая фабрика Санкт-Петербурга ОАО РОССИЯ		
Калия хлорид концентрат д/приг.р-ра д/инфузий 40мг/мл 10мл амп №10 Гротекс ООО РОССИЯ	4680013242626
Калия хлорид концентрат д/приг.р-ра д/инфузий 40мг/мл 10мл амп.0 №10		
Калия-магния-аспарагинат КМА  р-р д/инфузий 500 мл., флакон НеуказанаСтрана		
Кальция хлорид р-р 10% амп.10мл 0 №10 Новосибирская ф/ф ОАО РОССИЯ		
Канефрон Н таблетки п/о №60 Драгенофарм Апотекер Пюшль ГмбХ ГЕРМАНИЯ		
Кардиомагнил таблетки п/пл/о 75мг+15,2мг фл.т/ст.00 №1 Такеда Фармасьютикалс ООО РОССИЯ		
Катеджель C гель 12,5 шприц №5 Montavit GmbH АВСТРИЯ		
Келтикан комплекс * №40		
Кетамин р-р в/в и в/м введ. 50мг/мл амп.2мл №1 НеуказанаСтрана		
Кетонал р-р д/в/в, в/м введения 50мг/мл 2мл амп.т/с №10 Лек д.д. СЛОВЕНИЯ	3838957499793
Кетонал таблетки п/пл/о 100мг №20 Лек д.д. СЛОВЕНИЯ		
Клафоран порошок д/приг.р-ра д/в/в, в/м введения 1000мг фл. №1 Патеон Юк Лимитед Великобритания	3582910072065
Клексан р-р д/инъекций 4тыс.анти-Ха МЕ/0,4мл шприцы с защитной системой иглы №1 Санофи Винтроп Индустрия ФРАНЦИЯ		
Клофелин таблетки 0,15мг №50 Органика АО/ОАО РОССИЯ		
Комбилипен р-р д/в/м введения 2мл амп. №10 Фармстандарт-УфаВИТА ОАО РОССИЯ		
Комбилипен р-р д/в/м введения 2мл амп. №10 Фармстандарт-УфаВИТА ОАО РОССИЯ	4601808006834
Конкор  5мг №30, таблетки НеуказанаСтрана		
Конкор таблетки п/пл/о 10мг №30 Мерк Хелскеа КГаА ГЕРМАНИЯ		
Концентрат тромбоцитов из единицы крови пулированный в добавочном растворе * №1		
Корвалол капли д/приема внутрь 25мл фл.т/с №1 Алтайвитамины ЗАО РОССИЯ		
Кордиамин р-р д/инъекций 250 мг/мл 1 мл №10 Дальхимфарм ОАО г.Хабаровск РОССИЯ	4602824000257
Кордиамин р-р д/инъекций 250мг/мл 1мл амп.0 №1 Дальхимфарм ОАО г.Хабаровск РОССИЯ		
Кортексин лиоф д/приг.р-ра д/в/м введения 10мг фл. №10 Герофарм ООО РОССИЯ		
Кофеин-бензоат натрия р-р 20% амп.1мл 0 №10 Дальхимфарм ОАО г.Хабаровск РОССИЯ		
Креон 10000 капс.10000 ЕД 0,15 №20 Солвей Фармасьютикалс ГмбХ ГЕРМАНИЯ		
Креон 25000 капсулы кш/раств.25000ЕД фл. №20		
Ксилен капли назальные 0,1% 10мл фл./кап. №1 Лэнс-Фарм ООО РОССИЯ	4605095005570
Лазолван р-р д/приема внутрь и ингаляций 7,5мг/мл 100мл фл./кап.т/с №1 Институт де Ангели С.р.Л. ИТАЛИЯ	3582910082590
Лактофильтрум * №60 АВВА РУС АО/ОАО РОССИЯ	4607003669027
Левомеколь мазь 40,0 №1 Нижфарм ОАО РОССИЯ		
Левофлоксацин р-р д/инфузий 5мг/мл 100мл бут. №1 Дальхимфарм ОАО РОССИЯ		
Левофлоксацин таблетки п/пл/о 500мг №10 Вертекс АО/ЗАО РОССИЯ		
Леспефлан р-р фл.100мл №1 Вифитех ЗАО РОССИЯ		
Леспефрил р-р фл.100мл №1 Вифитех ЗАО РОССИЯ		
Лефлобакт р-р д/инфузий 5мг/мл 100мл фл.ст. №1 Синтез ОАО РОССИЯ	4602565022402
Лидокаин буфус р-р д/инъекций 100мг/мл 2мл амп.пласт. №10 Обновление ПКФ ЗАО/АО РОССИЯ	4603988009391
Лидокаин буфус р-р д/инъекций 20мг/мл 2мл амп.пласт. №10 Обновление ПКФ ЗАО/АО РОССИЯ	4603988009384
Лидокаин спрей аэр.д/местн.прим.10% 38,0 фл. с распыл. №1 Эгис АО фармацевтический завод ВЕНГРИЯ	5995327218199
Лизобакт таблетки д/рассасывания №30		
Линекс капсулы №32 Лек д.д. СЛОВЕНИЯ	3838957014408
Линкомицин р-р д/инф.и в/м введения 300мг/мл 1мл амп. №10 Белмедпрепараты РУП БЕЛАРУСЬ	4810133006109
Липримар таблетки п/пл/о 20мг №30 Пфайзер Айрленд Фармасьютикалс ИРЛАНДИЯ		
Лоперамид капсулы 2мг №10 Скопинский фармацевтический завод ООО РОССИЯ		
Люголя раствор 3%, 200 мл * №1		
Магневист р-р д/в/в введения 469,01мг/мл 15мл фл.0 №10 Байер Шеринг Фарма АГ ГЕРМАНИЯ	4029668001088
Магния сульфат пор.25,0 пакет №1 Борисовский завод медпрепаратов ОАО БЕЛАРУСЬ		
Магния сульфат р-р д/в/в введения 250мг/мл 5мл амп. №10 Гротекс ООО РОССИЯ	4680013242473
Маннит р-р д/инфузий 150мг/мл 200мл бут. №1 Красфарма ОАО/ПАО РОССИЯ	4602521005081
Маркаин Спинал Хэви 0,5%  4мл №5, ампула НеуказанаСтрана		
Масло персиковое косметич. 50 мл * №1		
Мегадексан таблетки 10мг №60		
Мезатон (фенилэфрин) 1%  1мл  №10 (ГНЦЛС), ампула НеуказанаСтрана		
Мексидол р-р д/в/в, в/м введения 50мг/мл 2мл амп. №10 Эллара ООО РОССИЯ	4670008161469
Мексидол р-р д/в/в, в/м введения 50мг/мл 2мл амп. №20 Эллара ООО РОССИЯ		
Мексидол таблетки п/пл/о 125мг №30 ЗиО-Здоровье ЗАО РОССИЯ		
Мелоксикам таблетки 15мг №10 Вертекс ЗАО РОССИЯ		
Менапур 75 МЕ ЛГ лиофил.д/пригот. р-ра д/в/м п/к введ № 10,фл НеуказанаСтрана		
Меновазин р-р фл.40мл №1 РОССИЯ		
Метадоксил 500мг таблетка №30 (детокс.д/леч.алког) (ст) НеуказанаСтрана		
Метилурацил мазь д/наружного применения 10% 25г тубы №1 НИИ ВС п/п бакпрепаратов г.С-Петербург РОССИЯ		
Метронидазол р-р д/инфузий 5мг/мл 100мл бут. №1 Красфарма ОАО/ПАО РОССИЯ		
Мидазолам р-р д/в/в и в/м введ. 5мг/мл 1 мл р-р №10		
Мидазолам р-р д/в/в, в/м введения 5мг/мл 3мл амп.N5 №5 Московский эндокринный завод ФГУП РОССИЯ		
Микролакс клизма 5мл №4 (ст) НеуказанаСтрана		
Милдронат р-р д/в/в, в/м, п/бульбарного введения 100мг/мл 5мл амп. №10 Санитас АО г.Каунас ЛИТВА	4750232000229
Мирамистин р-р д/местного применения 0,01% 500мл фл.п/э №1 Инфамед ЗАО РОССИЯ	4650068810064
Миролют таблетки 0,2мг №4 Обнинская химико-фарм.компания ЗАО РОССИЯ	4607024942819
Миропристон таблетки 200мг №3 Обнинская химико-фарм.компания ЗАО РОССИЯ	4607024944356
Мифегин таблетки 200мг №3 Макор Лаборатуар ФРАНЦИЯ		
Мовипреп® порошок д/приг.р-ра д/приема внутрь саше А 111,896г  +саше В 10,6г №2 Норджин Лимитед 		
Морфин р-р д/инъекций 10мг/мл 1мл амп.0 №1 Московский эндокринный завод ФГУП РОССИЯ		
Наропин р-р д/инъекций 7,5мг/мл 10мл амп №5 АстраЗенека АБ ШВЕЦИЯ		
Натрия гидрокарбонатр-р д/инфузий 40мг/мл 200мл бут. р-р д/инфузий 40мг/мл 200мл бут. №28 Дальхимфарм ОАО РОССИЯ	460282416555
Натрия тиосульфат р-р для в/в введения  300 мг/мл * №10		
Натрия хлорид Браун р-р д/инфузий 0,9% 1000мл бут.п/э 0 №10 Б.Браун Мельзунген АГ ГЕРМАНИЯ	4030539060714
Натрия хлорид Браун р-р д/инфузий 0,9% 100мл бут.п/э №1 Б.Браун Мельзунген АГ ГЕРМАНИЯ	4030539060677
Натрия хлорид Браун р-р д/инфузий 0,9% 100мл бут.п/э №20 Б.Браун Мельзунген АГ ГЕРМАНИЯ	4607092931135
Натрия хлорид Браун р-р д/инфузий 0,9% 500мл бут.п/э 0 №10 Б.Браун Мельзунген АГ ГЕРМАНИЯ		
Натрия хлорид буфус р-р д/инъекций 0,9% 10мл амп. №10 Обновление ПКФ ЗАО/АО РОССИЯ	4603988009018
Натрия хлорид р-р д/инф.0,9% фл.250мл 24 Ист-Фарм ЗАО РОССИЯ		
Натрия хлорид р-р д/инф.0,9% фл.250мл №1		
Натрия хлорид р-р д/инф.0,9% фл.250мл №20 РОССИЯ		
Натрия хлорид р-р д/инфузий 0,9% 100мл бут.п/э №1		
Натрия хлорид р-р д/инфузий 0,9% 250мл фл.0 №10 Гематек ООО РОССИЯ	4607092930459
Натрия хлорид р-р д/инфузий 0,9% 500мл мешки п/э №1 Гематек ООО РОССИЯ	4607092930831
Натрия хлорид р-р д/инфузий 0,9% 500мл фл.0 №10 Гематек ООО РОССИЯ		
Нейромидин р-р д/в/м, п/к введения 15мг/мл 1мл амп.0 №10 Олайнфарм Олайнский ХФЗ АО ЛАТВИЯ	4750258315444
Никотиновая кислота таб.50мг №50 Дальхимфарм ОАО г.Хабаровск РОССИЯ	4602424007519
Ницерголин лиоф.д/приг.р-ра д/ин.4мг амп./в компл.с растворителем №5 Микроген НПН ФГУП МЗ РФ РОССИЯ		
Но-шпа р-р д/в/в, в/м введения 20мг/мл 2мл амп.т/с N5 №1 Хиноин Завод Фармацевтических и Химических продуктов ЗАО ВЕНГРИЯ	3582910049487
Но-шпа р-р д/в/в, в/м введения 20мг/мл 2мл амп.т/с №1 Хиноин Завод Фармацевтических и Химических продуктов ЗАО ВЕНГРИЯ		
Но-шпа р-р д/в/в, в/м введения 20мг/мл 2мл амп.т/с №25 Хиноин Завод Фармацевтических и Химических продуктов ЗАО ВЕНГРИЯ		
Новинет таб.п/пл/о 0,02мг+0,15мг 21 Гедеон Рихтер ОАО ВЕНГРИЯ		
Новокаин буфус р-р д/инъекций 5мг/мл 10мл амп.п/э №1 Обновление ПКФ ЗАО/АО РОССИЯ		
Новокаин буфус р-р д/инъекций 5мг/мл 10мл амп.п/э №10 Обновление ПКФ ЗАО/АО РОССИЯ	4603988009445
Номидес капсулы 75мг №10 Фармасинтез АО РОССИЯ	4605310014387
Норваск таблетки 10мг №30 Р-Фарм Германия ГмбХ ГЕРМАНИЯ		
Нурофен  Экспресс капсулы 200мг, -блистеры (1)-пачки №8 Баннер Фармакапс Европа Б.В. НИДЕРЛАНДЫ		
Нурофен для детей суспензия д/приема внутрь [апельсиновая] 100мг/5мл 150мл фл./шпр.доз. №1 Рекитт Бенкизер Хелскэр (Великобритания) Лимитед Великобрит		
Нутридринк Компакт Протеин смесь жидкая 125мл.ваниль №4 Нутриция Н.В НИДЕРЛАНДЫ		
Нутризон Эдванст Диазон НЕ НР смесь жидкая 1000мл пакеты №1 Нутриция Н.В НИДЕРЛАНДЫ	8716900576065
Нутризон Энергия 1000мл * №1 Nutricia/Истра Германия-Россия		
Окомистин глазн.капли,0,01%. 10 мл * №1		
Оксалиплатин Медак лиоф.д/приг.р-ра д/инф.50мг фл. №1 Онкотек Фарма Продакшн ГмбХ ГЕРМАНИЯ	4037353004368
Окситоцин р-р 5 МЕ амп.1мл №5 Московский эндокринный завод ФГУП РОССИЯ		
Октреотид р-р д/в/в, п/к введения 100мкг/мл 1мл амп.0 №1 Компания Деко ООО РОССИЯ		
Омез капсулы кш/раств.20мг №30 Д-р Редди`c Лабораторис Лтд. ИНДИЯ		
Омез лиоф.д/приг.р-ра д/инф.40мг фл. №1 Софаримекс-Индустрия Кимика э Фармасуэтика Лда ПОРТУГАЛИЯ		
Омепразол лиофилизат д/приг.р-ра д/инфузий 40мг фл. №1 Фирма Фермент ООО РОССИЯ		
Омник капсулы с модиф.высвоб.0,4мг №30 ЗиО-Здоровье ЗАО РОССИЯ		
Омник капсулы с модиф.высвоб.0,4мг №30 ЗиО-Здоровье ЗАО РОССИЯ		
Омнискан р-р д/в/в введения 0,5 ммоль/мл 10мл фл. №10 ДжиИ Хэлскеа Ирландия ИРЛАНДИЯ		
Омнискан р-р д/в/в введения 0,5 ммоль/мл 15мл фл. №10 ДжиИ Хэлскеа Ирландия ИРЛАНДИЯ		
Омнискан р-р д/в/в введения 0,5 ммоль/мл 20мл фл.0 №10 ДжиИ Хэлскеа Ирландия ИРЛАНДИЯ	5390225452896
Ондансетрон р-р 2мг/мл амп.2мл №5 Гротекс ООО РОССИЯ	4680013244521
Оптирей р-р д/в/в, в/а введения 300мг йода/мл 100мл фл.0 №1 Тайко Хэлскэа КАНАДА		
Оргалутран р-р 250мкг/0,5мл шприц N5 №1 Органон Н.В. НИДЕРЛАНДЫ	4602210002971
Отофа капли ушные 26мг/мл фл.10мл №1 Фармастер ФРАНЦИЯ		
Панавир Инлайт Спрей, 40 мл * №1		
Панавир р-р д/в/в введения 0,04мг/мл 5мл фл. №5 Эллара МЦ ООО РОССИЯ	4670008161919
Панангин .р-р д/ин  10мл амп №5 Гедеон Рихтер ОАО ВЕНГРИЯ		
Пантенол аэр.4,63/130мл бал. №1 Аэрофарм ГмбХ ГЕРМАНИЯ		
Папаверин буфус р-р №10 Обновление ПКФ ЗАО/АО РОССИЯ	4603988009506
Папаверин р-р д/инъекций 20мг/мл 2мл амп. №10 Гротекс ООО РОССИЯ		
Парацетамол р-р д/инфузий 10мг/мл 100мл бут.п/э 24 Ист-Фарм ООО РОССИЯ	4607094500919
Парацетамол р-р д/приема внутрь 25мг/мл 100мл фл./мерн.стак.,мерн.ложка №1 Розлекс Фарм ООО РОССИЯ		
Парацетамол суппозитории ректальные [для детей] 250мг №10 Нижфарм ОАО РОССИЯ		
Парацетамол таблетки 500мг №20 Уфавита Уфимский витаминный РОССИЯ		
Пентоксифиллин концентрат д/приг.р-ра д/в/в, в/а введения 20мг/мл 5мл амп №10 Мосхимфармпрепараты им.Н.А.Семашко ОАО РОССИЯ		
Перекись водорода р-р д/местн.и наружного прим.3% 100мл фл. №1 Тульская фармацевтическая фабрика ООО РОССИЯ	4603905003310
Периндоприл-ВЕРТЕКС таблетки 4мг №30 Вертекс АО/ЗАО РОССИЯ		
Пирацетам буфус р-р д/в/в, в/м введения 200мг/мл 5мл амп.0 №50 Обновление ПКФ ЗАО/АО РОССИЯ	4603988014142
Пиридоксин р-р д/инъекций 50мг/мл 1мл амп. №10 Борисовский завод медпрепаратов ОАО БЕЛАРУСЬ	4810201000374
Плагрил таблетки п/пл/о 75мг №30 Д-р Редди`c Лабораторис Лтд. ИНДИЯ		
Плазма-Лит 148 водный раствор р-р д/инфузий 1000мл конт.пласт.0 №1 Бакстер Хелскеа Лимитед Великобритания		
Платифиллин гидротартрат р-р д/п/к введения 2мг/мл 1мл амп. №10 Дальхимфарм ОАО г.Хабаровск РОССИЯ	4602824020606
Поливиниллирролидона раствор 7% PVP мл НеуказанаСтрана		
Прадакса капсулы 110мг №60 Берингер Ингельхайм Фарма ГмбХ и Ко.КГ ГЕРМАНИЯ		
Преднизол р-р д/в/в, в/м введения 30мг/мл 1мл амп.N3 №3 Аджио Фармацевтикалз Лтд ИНДИЯ	8901043006870
Престариум А таблетки диспергируемые 5мг №30 Сердикс ООО РОССИЯ	4607159862693
Присыпка детская фл 50г * №1		
Прозерин р-р д/инъекций 0,5мг/мл 1 мл №10 Новосибхимфарм АО/ОАО РОССИЯ	4602212001163
Промедол р-р д/инъекций 20мг/мл 1мл амп №5 Московский эндокринный завод ФГУП РОССИЯ		
Пропофол Каби эмульсия д/в/в введения 10мг/мл 20мл амп. №5 Фрезениус Каби Австрия ГмбХ АВСТРИЯ	4607085481302
Пропофол Каби эмульсия д/в/в введения 20мг/мл 50мл фл. №1 Фрезениус Каби Австрия ГмбХ АВСТРИЯ	4607085481340
Пропофол-Липуро эмульсия д/в/в введения 10мг/мл 20мл амп. №5 Б.Браун Мельзунген АГ ГЕРМАНИЯ		
Пульмикорт сусп.д/инг.дозир.0,25мг/мл 2мл конт. №20 АстраЗенека АБ ШВЕЦИЯ		
Пульмикорт сусп.д/инг.дозир.0,5мг/мл 2мл конт. №20 АстраЗенека АБ ШВЕЦИЯ		
Пурегон пор.лиоф.д/ин.900МЕ амп.с р-лем игл9 №1 Органон Н.В. НИДЕРЛАНДЫ		
Пурегон Пэн ручка- инжектор д/введ ЛС пор.лиоф.д/ин.900МЕ амп.с р-лем игл9 №1 Органон Н.В. НИДЕРЛАНДЫ		
Пурегон р-р п/к введ.300МЕ 0,36мл катр./с игл. N6 №1 Органон Н.В. НИДЕРЛАНДЫ		
Пурегон р-р п/к введ.600МЕ 0,72мл катр./с игл.6 №1 Органон Н.В. НИДЕРЛАНДЫ		
Радахлорин р-р д/в/в введения 3,5мг/мл 10мл фл. №1 Челябинская областная станция переливания крови ОГУП РОССИЯ		
Реамберин р-р д/инфузий 1,5% 250мл конт.полим. №5 ПОЛИСАН Научно-технологическая фармацевтическая фирма ООО РОССИЯ	4603191001724
Реамберин р-р д/инфузий 500мл фл.ст. №5 ПОЛИСАН Научно-технологическая фармацевтическая фирма ООО РОССИЯ		
Регидрон порошок д/приг.р-ра д/приема внутрь 18,9 пак. №20 Орион Корпорейшн Орион Фарма ФИНЛЯНДИЯ		
Ремаксол р-р фл.400мл 12 ПОЛИСАН Научно-технологическая фармацевтическая фирма ООО РОССИЯ		
Ремаксол р-р фл.400мл №1 ПОЛИСАН Научно-технологическая фармацевтическая фирма ООО РОССИЯ		
Рибоксин р-р д/в/в введения 20мг/мл 5мл амп.0 №10		
Риделат-С р-р д/в/в введения 10мг/мл 5мл амп.0 №1 Сотекс ФармФирма ЗАО РОССИЯ		
Рингер р-р д/инфузий 500мл фл. №1 Гротекс ООО РОССИЯ		
Рингера раствор р-р д/инфузий 250мл фл.ст. №1 Медполимер фирма ОАО г.С-Петербург РОССИЯ		
